10	-1.78e-15	-2.22e-16	-3.33e-16	-7.27e+01	8.50e+01	9.88e+01
20	8.88e-16	3.11e-15	-8.88e-16	-1.24e+02	1.05e+02	1.06e+02
30	4.66e-15	8.44e-15	8.88e-16	-7.17e+01	1.04e+02	2.04e+02
40	8.88e-15	9.77e-15	4.44e-16	6.75e+01	1.75e+02	2.92e+02
50	1.24e-14	8.88e-15	4.00e-15	2.02e+02	2.48e+02	2.96e+02
60	1.47e-14	8.44e-15	5.77e-15	2.58e+02	2.23e+02	3.12e+02
70	1.33e-15	4.44e-15	6.66e-15	2.49e+02	1.14e+02	3.06e+02
80	3.00e-15	-1.33e-15	8.44e-15	1.27e+02	-7.72e+01	2.00e+02
90	3.33e-15	4.44e-16	1.24e-14	-5.55e+01	-1.99e+02	-3.77e+01
100	6.22e-15	-9.33e-15	1.22e-14	-2.23e+02	-2.60e+02	-1.84e+02
110	-8.88e-16	-3.77e-15	4.55e-15	-1.71e+02	-7.95e+01	-1.43e+02
120	1.78e-15	-4.22e-15	3.77e-15	-2.26e+02	-1.19e+02	-1.87e+02
130	-1.78e-15	-5.00e-15	7.66e-15	-1.55e+02	-2.38e+02	-1.60e+02
140	-1.11e-15	-5.72e-15	1.15e-14	5.83e+00	-3.18e+02	-1.69e+02
150	4.00e-15	-4.25e-15	5.77e-15	1.47e+02	-3.61e+02	-2.60e+02
160	7.11e-15	4.44e-16	1.02e-14	2.16e+02	-3.24e+02	-3.22e+02
170	4.66e-15	-1.33e-15	8.44e-15	2.07e+02	2.57e+01	-2.26e+02
180	4.66e-15	-1.78e-15	1.09e-14	1.12e+02	4.35e+02	-9.61e+00
190	5.33e-15	-4.22e-15	1.64e-14	-4.13e+01	5.95e+02	9.90e+01
200	4.44e-16	-8.44e-15	1.69e-14	-1.65e+02	5.33e+02	-4.11e+01
210	-1.55e-15	-1.03e-15	7.72e-15	-1.42e+02	4.51e+01	-1.89e+02
220	-2.55e-15	6.11e-16	4.88e-15	-2.02e+02	-2.25e+01	-1.45e+02
230	-4.88e-15	-2.44e-15	3.11e-15	-1.54e+02	-4.99e+01	6.99e+01
240	-5.11e-15	2.47e-15	5.33e-15	-2.40e+01	-1.05e+02	2.37e+02
250	-6.74e-15	5.07e-15	7.99e-15	1.11e+02	-2.25e+02	2.13e+02
260	-9.69e-15	3.35e-15	5.22e-15	2.13e+02	-2.81e+02	-2.97e+01
270	-1.08e-14	3.05e-15	3.11e-15	2.16e+02	-9.92e+01	-2.94e+02
280	-7.88e-15	-2.78e-15	6.02e-15	1.63e+02	2.71e+02	-5.13e+02
290	-1.30e-14	8.88e-16	7.88e-15	9.27e+01	4.53e+02	-5.22e+02
300	-1.60e-14	1.11e-15	8.55e-15	-8.11e+01	2.95e+02	-2.64e+02
310	-1.21e-14	-1.33e-15	2.66e-15	-1.69e+02	-3.62e+01	2.68e+01
320	-1.37e-14	-2.44e-15	2.22e-15	-1.99e+02	6.65e+00	-4.77e+00
